track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,123,random_single,8,400,0,0.15,1,0.18841251264778713,0.0891839691604492,1.5156847500246915
design,123,random_single,40,400,0,0.15,5,0.018779604560368684,0.009839606049328856,0.013281302640327052
design,123,random_single,80,400,0,0.15,10,0.004183514012618997,0.0019820182449592607,0.007955603457693618
design,123,random_single,160,400,0,0.15,20,0.002344783511427902,0.0010041452593337323,0.003752673068145165
design,123,random_single,400,400,0,0.15,50,0.0017666270077802248,0.0009671489705940509,0.001256577141106301
design,123,design_single,8,400,0,0.15,1,0.10134039697688314,0.05623763825594833,1.4595141866809132
design,123,design_single,40,400,0,0.15,5,0.0036924686152334327,0.0014905299309837285,0.013581492633157444
design,123,design_single,80,400,0,0.15,10,0.018346078616856037,0.009891181450295187,0.006063618644514941
design,123,design_single,160,400,0,0.15,20,0.005846083350707422,0.0030961494915205867,0.002810971754279335
design,123,design_single,400,400,0,0.15,50,4.610851515247654e-05,5.336517009275785e-07,0.0012058281057348162
design,123,random_joint,8,400,0,0.15,1,0.07605235911121067,0.04023759233694471,1.4845275236848607
design,123,random_joint,40,400,0,0.15,5,0.02546354226528893,0.003156010954311083,1.4227159098400184
design,123,random_joint,80,400,0,0.15,10,0.0001904718531608943,8.13867966561116e-05,0.0008049405340131354
design,123,random_joint,160,400,0,0.15,20,3.678953850703721e-05,2.0664257001935745e-05,0.00020207948044371872
design,123,random_joint,400,400,0,0.15,50,4.280243389357318e-05,1.4538957930934706e-06,7.317368826968091e-05
design,123,design_joint,8,400,0,0.15,1,0.03711803950055598,0.017241465642176622,1.4770521184888714
design,123,design_joint,40,400,0,0.15,5,0.0005586713557753683,0.0002371292666432241,0.0007222756312949218
design,123,design_joint,80,400,0,0.15,10,6.6426313142588e-05,7.0758692088822445e-06,0.00024718666598009804
design,123,design_joint,160,400,0,0.15,20,0.0001005684381182085,4.019638371192841e-06,0.00011673211948550285
design,123,design_joint,400,400,0,0.15,50,3.4478349199666325e-05,2.5832494902686723e-06,4.4768410495117053e-05
