episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,loss_X6,loss_X7,loss_X8,loss_X9,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X16,loss_X17,loss_X18,loss_X19,loss_X20,loss_X21,loss_X22,loss_X23,loss_X24,loss_X25,loss_X26,loss_X27,loss_X28,loss_X29,loss_X30,ace_total_loss,ace_loss_X1,ace_loss_X2,ace_loss_X3,ace_loss_X4,ace_loss_X5,ace_loss_X6,ace_loss_X7,ace_loss_X8,ace_loss_X9,ace_loss_X10,ace_loss_X11,ace_loss_X12,ace_loss_X13,ace_loss_X14,ace_loss_X15,ace_loss_X16,ace_loss_X17,ace_loss_X18,ace_loss_X19,ace_loss_X20,ace_loss_X21,ace_loss_X22,ace_loss_X23,ace_loss_X24,ace_loss_X25,ace_loss_X26,ace_loss_X27,ace_loss_X28,ace_loss_X29,ace_loss_X30,env_queries_executed,env_queries_candidate_probe,env_queries_observational,env_queries_total
0,0,X24,-0.5058463687757175,7.988334422931075,0.9548918008804321,1.1403831243515015,1.0143893957138062,0.8747631907463074,1.0212956666946411,0.05252428352832794,0.46274107694625854,0.43774163722991943,0.1787818819284439,0.21672476828098297,0.03932435065507889,0.05667604133486748,0.04520286247134209,0.024076689034700394,0.03530845791101456,0.06903863698244095,0.026644669473171234,0.15903343260288239,0.05018790438771248,0.11477278172969818,0.025314345955848694,0.05626716464757919,0.08641262352466583,0.11683275550603867,0.31355828046798706,0.05141621455550194,0.022914089262485504,0.021361062303185463,0.10025506466627121,0.21950016915798187,22.849386270344258,0.9548918008804321,1.1403831243515015,1.0143893957138062,0.8747631907463074,1.0212956666946411,0.24430689215660095,1.7667343616485596,2.264124870300293,0.9740678668022156,0.900729238986969,0.18769779801368713,0.27956876158714294,0.8472001552581787,0.03345010429620743,0.3194187879562378,0.952603280544281,0.059746719896793365,1.0047577619552612,0.2900705635547638,1.5084538459777832,0.37113556265830994,1.197942852973938,1.346065878868103,3.4297173023223877,1.3983432054519653,0.8593738675117493,0.2324635088443756,0.027126602828502655,0.3968505859375,0.9562912583351135,212500,0,272000,484500
0,1,X15,-0.6479067809425914,5.88389777392149,0.9551379680633545,1.1407952308654785,1.0171935558319092,0.8629723787307739,1.0346702337265015,0.028939926996827126,0.14305013418197632,0.08056697249412537,0.031709250062704086,0.028492296114563942,0.022992875427007675,0.026224924251437187,0.028742175549268723,0.022669902071356773,0.02457651123404503,0.025847824290394783,0.02463996224105358,0.03774081915616989,0.024805888533592224,0.02237316407263279,0.020633064210414886,0.033746879547834396,0.02864900976419449,0.04491256922483444,0.033145684748888016,0.028547419235110283,0.02311163768172264,0.023594286292791367,0.025885291397571564,0.03752993792295456,6.993744866922498,0.9551379680633545,1.1407952308654785,1.0171935558319092,0.8629723787307739,1.0346702337265015,0.03246628865599632,0.7322096228599548,0.49469876289367676,0.14626383781433105,0.04338948801159859,0.06381259113550186,0.1030212789773941,0.4912143051624298,0.023152664303779602,0.11389657109975815,0.21766982972621918,0.05028612166643143,0.27796176075935364,0.0677039697766304,0.04109090939164162,0.1251930296421051,0.5308530926704407,0.382496178150177,1.219659447669983,0.46890199184417725,0.1193498745560646,0.14069201052188873,0.030573220923542976,0.038199592381715775,0.03683455288410187,212500,0,272000,484500
0,2,X26,3.8950714951865155,5.676951477304101,0.954936146736145,1.1420032978057861,1.0440073013305664,0.8619126677513123,1.0224976539611816,0.026776675134897232,0.03752221167087555,0.04952801391482353,0.024898868054151535,0.02454891800880432,0.022916659712791443,0.025027144700288773,0.025788690894842148,0.022556569427251816,0.021881863474845886,0.023849816992878914,0.023670103400945663,0.031022366136312485,0.023039234802126884,0.02173677086830139,0.02016156166791916,0.026730813086032867,0.025125596672296524,0.023838693276047707,0.029043374583125114,0.025744685903191566,0.02237517200410366,0.0219899732619524,0.023714086040854454,0.02810654602944851,4.978218675404787,0.954936146736145,1.1420032978057861,1.0440073013305664,0.8619126677513123,1.0224976539611816,0.03519150987267494,0.14673782885074615,0.3036037087440491,0.07201573997735977,0.0317431315779686,0.046803250908851624,0.1734876036643982,0.3761626183986664,0.029267311096191406,0.10995090007781982,0.1084226593375206,0.03220866620540619,0.2627866268157959,0.03281167894601822,0.029739562422037125,0.05523759499192238,0.3105144202709198,0.3278895914554596,0.7619088292121887,0.3601912260055542,0.02799251675605774,0.21729014813899994,0.04473688825964928,0.026563305407762527,0.0498899444937706,212500,0,272000,484500
0,3,X2,1.174050474978059,5.5945383328944445,0.952989399433136,1.158981204032898,1.0153266191482544,0.8605608344078064,1.0089139938354492,0.025636298581957817,0.02604295313358307,0.03373005986213684,0.02424130029976368,0.023734111338853836,0.022767094895243645,0.023463398218154907,0.024202004075050354,0.02269318513572216,0.021465137600898743,0.023565521463751793,0.023208528757095337,0.026912713423371315,0.02160775475203991,0.021761305630207062,0.01938728243112564,0.025834331288933754,0.023479195311665535,0.022531522437930107,0.026454342529177666,0.023234859108924866,0.02212795801460743,0.020700471475720406,0.022895582020282745,0.026089370250701904,3.9679558660835026,0.952989399433136,1.158981204032898,1.0153266191482544,0.8605608344078064,1.0089139938354492,0.03561824932694435,0.045594945549964905,0.18718478083610535,0.056957174092531204,0.02600947581231594,0.040435731410980225,0.038923148065805435,0.2928865849971771,0.02500598132610321,0.11823844164609909,0.08112266659736633,0.024756845086812973,0.20483578741550446,0.022400232031941414,0.038773149251937866,0.05520186573266983,0.20350812375545502,0.24334202706813812,0.6624903082847595,0.1743054986000061,0.03862570971250534,0.26417505741119385,0.026947569102048874,0.023570751771330833,0.037691351026296616,212500,0,272000,484500
0,4,X27,3.992539852080771,5.585111351683736,0.9530442953109741,1.1580244302749634,1.0160248279571533,0.8604983687400818,1.0101250410079956,0.025173906236886978,0.025311795994639397,0.030291659757494926,0.024154137820005417,0.023357851430773735,0.022657819092273712,0.023261239752173424,0.024269387125968933,0.02259376458823681,0.02121945470571518,0.02360338717699051,0.023186853155493736,0.02547081746160984,0.021426446735858917,0.021627694368362427,0.019172299653291702,0.025574153289198875,0.02343401126563549,0.02174593321979046,0.025789638981223106,0.023283377289772034,0.02209039404988289,0.02065560221672058,0.022683020681142807,0.02535974234342575,3.875457536056638,0.9530442953109741,1.1580244302749634,1.0160248279571533,0.8604983687400818,1.0101250410079956,0.03550279513001442,0.042675748467445374,0.1736663430929184,0.04667879268527031,0.02764282561838627,0.03989885002374649,0.032472915947437286,0.23397785425186157,0.024757923558354378,0.09637860208749771,0.07301998883485794,0.027511654421687126,0.20655430853366852,0.023059658706188202,0.0358361154794693,0.09838411211967468,0.2220575213432312,0.26760852336883545,0.6518360376358032,0.13185261189937592,0.04778781533241272,0.25112777948379517,0.02901994250714779,0.023343870416283607,0.03326155245304108,212500,0,272000,484500
0,5,X17,3.8648089857281214,5.581678735092282,0.9527927041053772,1.15777587890625,1.0178282260894775,0.8605772256851196,1.0107799768447876,0.02488785795867443,0.02474658377468586,0.02852618508040905,0.024225326254963875,0.023214874789118767,0.022492099553346634,0.023200036957859993,0.02431732974946499,0.02259027026593685,0.021109847351908684,0.023638706654310226,0.02318653278052807,0.02452242001891136,0.021287044510245323,0.021591437980532646,0.01921665109694004,0.025707261636853218,0.023331187665462494,0.021479731425642967,0.025359101593494415,0.023259760811924934,0.022132819518446922,0.020459221675992012,0.02256029285490513,0.02488214150071144,3.615085006132722,0.9527927041053772,1.15777587890625,1.0178282260894775,0.8605772256851196,1.0107799768447876,0.030730929225683212,0.03522815555334091,0.10204898566007614,0.042622506618499756,0.023761531338095665,0.029269514605402946,0.037516213953495026,0.21226806938648224,0.025218555703759193,0.08446123450994492,0.07330986112356186,0.02369612082839012,0.245591402053833,0.022687576711177826,0.029526399448513985,0.14578326046466827,0.2179272174835205,0.20432601869106293,0.6004429459571838,0.11457590013742447,0.025514841079711914,0.20141665637493134,0.031055351719260216,0.025963708758354187,0.030191246420145035,212500,0,272000,484500
0,6,X11,-0.11085711519535213,5.558665344491601,0.9539496302604675,1.1429903507232666,1.0162725448608398,0.8607746362686157,1.0094804763793945,0.024473443627357483,0.02415216527879238,0.026284869760274887,0.0242522694170475,0.02321436256170273,0.022287888452410698,0.023037012666463852,0.024310166016221046,0.022568196058273315,0.02089540846645832,0.023690925911068916,0.023223578929901123,0.023537641391158104,0.02117740735411644,0.021627021953463554,0.019212080165743828,0.0257180817425251,0.023017846047878265,0.021452290937304497,0.024921366944909096,0.02324875444173813,0.022097045555710793,0.01993395946919918,0.02262173779308796,0.024242185056209564,3.5365166276693345,0.9539496302604675,1.1429903507232666,1.0162725448608398,0.8607746362686157,1.0094804763793945,0.03321545571088791,0.03357604518532753,0.09457685798406601,0.04556296765804291,0.02414564974606037,0.029547926038503647,0.0372595377266407,0.1524827480316162,0.022340737283229828,0.10026482492685318,0.05660952627658844,0.04216363653540611,0.2169140875339508,0.026700282469391823,0.027020089328289032,0.30872511863708496,0.14223481714725494,0.18741649389266968,0.6031264066696167,0.09069643169641495,0.03599419817328453,0.14247050881385803,0.03504136577248573,0.022876296192407608,0.028861090540885925,212500,0,272000,484500
0,7,X25,-3.8507822838145844,5.558089977130294,0.954258143901825,1.1435773372650146,1.0155367851257324,0.8613243699073792,1.0094667673110962,0.02459082566201687,0.02389746531844139,0.0256888996809721,0.02424413524568081,0.023163529112935066,0.022282714024186134,0.023067140951752663,0.024347834289073944,0.022577185183763504,0.02077963575720787,0.023689843714237213,0.023286880925297737,0.02326437085866928,0.021160444244742393,0.021669059991836548,0.01930759847164154,0.025755180045962334,0.022989219054579735,0.02142564207315445,0.02475573681294918,0.023279480636119843,0.02206292748451233,0.01995117962360382,0.0225672610104084,0.024122383445501328,3.5163234405219557,0.954258143901825,1.1435773372650146,1.0155367851257324,0.8613243699073792,1.0094667673110962,0.028463318943977356,0.03173060715198517,0.07108710706233978,0.041853707283735275,0.02541767992079258,0.026981811970472336,0.043493665754795074,0.14832086861133575,0.022078722715377808,0.1536504030227661,0.04724359139800072,0.044508449733257294,0.2158353328704834,0.02169807441532612,0.025559550151228905,0.39476698637008667,0.1461404711008072,0.17250989377498627,0.5754754543304443,0.08989588916301727,0.03190378099679947,0.08871090412139893,0.020984726026654243,0.025411415845155716,0.025768347084522247,212500,0,272000,484500
0,8,X16,1.9577290466013153,5.558658216148615,0.9542275667190552,1.1449668407440186,1.0168675184249878,0.861076295375824,1.0089854001998901,0.02462504804134369,0.023652199655771255,0.0252041257917881,0.02427678555250168,0.023191848769783974,0.02216799557209015,0.023119686171412468,0.024246718734502792,0.022521495819091797,0.02075686678290367,0.023687981069087982,0.02330164611339569,0.023121453821659088,0.02116229757666588,0.021622128784656525,0.01928521879017353,0.025677666068077087,0.022901618853211403,0.02142484113574028,0.024569517001509666,0.023299330845475197,0.02208956517279148,0.019977809861302376,0.022556686773896217,0.02409406192600727,3.459243132174015,0.9542275667190552,1.1449668407440186,1.0168675184249878,0.861076295375824,1.0089854001998901,0.025885440409183502,0.03180133178830147,0.07335129380226135,0.040850408375263214,0.026106636971235275,0.024850787594914436,0.03600364923477173,0.12226558476686478,0.023857204243540764,0.1490119844675064,0.04787590354681015,0.0540030412375927,0.23608551919460297,0.022470545023679733,0.022964706644415855,0.49779993295669556,0.11931856721639633,0.16220980882644653,0.48188379406929016,0.0873122587800026,0.03588017821311951,0.06508003175258636,0.021368512883782387,0.026567621156573296,0.02721366472542286,212500,0,272000,484500
0,9,X2,-2.3687960839584985,5.560235248878598,0.9557041525840759,1.146742582321167,1.0173355340957642,0.8615965247154236,1.0090978145599365,0.02454085648059845,0.023227829486131668,0.024616919457912445,0.024079160764813423,0.023145226761698723,0.022150153294205666,0.022956136614084244,0.023961767554283142,0.022494304925203323,0.020503154024481773,0.02371292933821678,0.023369114845991135,0.022998560220003128,0.021232066676020622,0.021553905680775642,0.01921197585761547,0.025453651323914528,0.022919801995158195,0.02138882502913475,0.024344351142644882,0.023309918120503426,0.022109616547822952,0.019888542592525482,0.02256104350090027,0.024028828367590904,3.6023145031183956,0.9557041525840759,1.146742582321167,1.0173355340957642,0.8615965247154236,1.0090978145599365,0.02669922634959221,0.0298834927380085,0.06292010098695755,0.044216834008693695,0.025232775136828423,0.022811012342572212,0.04243685305118561,0.09968272596597672,0.021623320877552032,0.18279430270195007,0.043611545115709305,0.05746673047542572,0.23775261640548706,0.02729494497179985,0.028762105852365494,0.623399019241333,0.11693672835826874,0.17079754173755646,0.49368855357170105,0.0845155268907547,0.05365442484617233,0.03542288392782211,0.023078085854649544,0.02526881732046604,0.024269012734293938,212500,0,272000,484500
